id,genre,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
4JUPEh2DVSXFGExu4Uxevz,k-pop,76,177813,0.79,0.701,8.06E-05,0.0311,-4.81,1,0.365,159.972,0.91
7qq0EOPW4RRlqdvMBmdd73,k-pop,73,163945,0.804,0.633,0.000119,0.102,-6.186,1,0.0612,115.002,0.67
3yv7994DWTEk3ihwy75YBQ,houston rap,68,187940,0.933,0.757,0,0.135,-3.212,1,0.117,137.993,0.544
7iKDsPfLT0d5mu2htfMKBZ,k-pop,74,171797,0.686,0.64,0,0.0801,-5.491,1,0.159,162.225,0.597
0ycIrEpkyb4lrqE7M1emju,kentucky hip hop,65,171173,0.498,0.705,0.000441,0.414,-8.088,0,0.392,156.519,0.571
5TXQCMKN6TgemTL3c4wRTn,kentucky hip hop,64,193702,0.633,0.793,0,0.867,-6.847,0,0.182,109.093,0.761
6Iw6fQVKZi0fWtEQBrTFcP,kentucky hip hop,56,179188,0.467,0.429,5.22E-05,0.177,-8.689,0,0.0964,148.53,0.24
1MpQyTgfVMpUOnwKMTSMzu,kentucky hip hop,55,178088,0.363,0.359,9.11E-05,0.353,-12.19,0,0.101,74.526,0.142
4SFknyjLcyTLJFPKD2m96o,k-pop,83,182956,0.812,0.761,0.000135,0.0601,-5.222,1,0.0812,130.032,0.344
39kzWAiVPpycdMpr745oPj,k-pop,70,231201,0.477,0.435,0,0.12,-6.497,1,0.0523,144.144,0.322
4TgxFMOn5yoESW6zCidCXL,nz pop,81,184905,0.758,0.598,0,0.295,-5.695,0,0.0868,149.836,0.658
2SSyJ6hTS0JeHTg63wVDZ7,kentucky hip hop,63,190144,0.639,0.439,3.56E-06,0.0699,-8.425,1,0.0601,141.408,0.559
5sBplhIrmzA4kQGyIOpmDf,pop rap,74,181495,0.832,0.549,0,0.11,-8.259,0,0.0602,140.045,0.384
463CkQjx2Zk1yXoBuierM9,dance pop,91,203064,0.702,0.825,0,0.0674,-3.787,0,0.0601,102.977,0.915
6SL8U8TtdwOtGhbmGzsMfX,dance pop,68,173467,0.78,0.684,0,0.105,-5.758,1,0.0636,149.916,0.732
2IY537C2ecmUMJ46bYQggp,la pop,56,199506,0.607,0.655,0,0.114,-8.055,1,0.0341,136.028,0.255
